id,nama_tempat,kategori,kabupaten,deskripsi,rating,harga_tiket_wni,harga_tiket_wna,jam_buka,aktivitas,latitude,longitude
77,Pantai Bingin,Pantai,Badung,Pantai tersembunyi di kawasan Bukit Bali yang sangat populer di kalangan peselancar internasional. Dikenal dengan ombak barrel yang sempurna. Akses melalui anak tangga menuruni tebing yang cukup menantang.,4.6,10000,15000,06.00-18.00,"Surfing, berenang, berfoto, bersantai di tepi tebing",-8.8161,115.1082
78,Air Terjun Nungnung,Alam,Badung,Air terjun setinggi 50 meter yang megah di pedalaman Badung. Memerlukan trekking sekitar 500 anak tangga yang cukup menantang. Pemandangan air terjun yang deras di tengah hutan sangat spektakuler.,4.6,20000,30000,08.00-17.00,"Trekking, berfoto, berenang di kolam alami, menikmati alam",-8.4367,115.1983
79,Bukit Campuhan Ubud,Alam,Badung,Jalur trekking ikonik di Ubud melewati perbukitan hijau dengan pemandangan lembah yang memukau. Sangat populer untuk morning walk dan menikmati sunrise. Viral di Instagram karena keindahan alam yang autentik.,4.6,0,0,06.00-18.00,"Trekking, sunrise viewing, berfoto, meditasi, cycling",-8.4979,115.2494
80,Taman Ayun Pura Mengwi,Budaya,Badung,"Kompleks pura kerajaan Mengwi abad ke-17 yang dikelilingi kolam air seluas 1,5 hektar menciptakan kesan pura mengapung. Sangat indah dan fotogenik terutama saat pagi hari dengan kabut tipis di atas kolam.",4.6,30000,50000,08.00-18.00,"Wisata budaya, berfoto di pura mengapung, trekking taman, wisata religi",-8.5397,115.1726
81,Bali Swing Aloha Ubud,Taman Hiburan,Badung,Ayunan raksasa sangat viral di media sosial dengan ketinggian hingga 25 meter di atas lembah. Pemandangan alam Bali yang indah menjadi latar belakang foto yang sangat instagramable dan selalu ramai sepanjang tahun.,4.5,175000,175000,07.00-18.00,"Bali Swing ekstrem, berfoto instagramable, sky bike, flying fox",-8.5218,115.2799
82,Pantai Karma Kandara,Pantai,Badung,Pantai tersembunyi mewah di Desa Ungasan dengan pasir putih lembut dan air laut sejernih kristal. Suasananya sangat tenang dan jauh dari keramaian. Cocok untuk wisatawan yang mencari pengalaman pantai premium Bali.,4.7,0,0,07.00-19.00,"Berenang, snorkeling, bersantai, beach club premium, sunset viewing",-8.8371,115.1495
83,Pantai Melasti,Pantai,Badung,Pantai indah di kawasan Ungasan dengan tebing kapur yang menjulang dan pasir putih bersih. Air lautnya jernih berwarna biru kehijauan. Kini dilengkapi TT Beach Club yang langsung viral saat dibuka pada 2024.,4.7,10000,15000,07.00-22.00,"Berenang, snorkeling, berfoto di tebing, beach club, sunset viewing",-8.8568,115.1437
84,Pantai Pandawa,Pantai,Badung,"Pantai tersembunyi dikenal sebagai pantai rahasia Bali, dikelilingi tebing kapur menjulang dengan ukiran tokoh Pandawa lima yang megah. Diakses melalui jalan berliku membelah tebing, menjadikan pengalaman sangat unik.",4.6,15000,20000,07.00-18.00,"Berenang, kayak, snorkeling, berfoto di tebing, bersantai",-8.8409,115.1888
85,Pantai Dreamland,Pantai,Badung,Pantai eksotis di kawasan Bukit Pecatu dengan ombak besar yang disukai peselancar. Dikelilingi tebing kapur putih yang menambah keindahan. Pemandangan sunset dari tebing sangat dramatis dan fotogenik.,4.4,10000,20000,07.00-18.00,"Surfing, berenang, berfoto, sunset viewing",-8.8191,115.1141
86,Pura Uluwatu,Budaya,Badung,Pura Hindu yang berdiri megah di atas tebing setinggi 70 meter dengan pemandangan Samudra Hindia yang menakjubkan. Terkenal dengan pertunjukan Tari Kecak saat matahari terbenam yang menjadi salah satu pertunjukan paling epik di dunia.,4.8,30000,50000,07.00-19.00,"Melihat Tari Kecak, berfoto, wisata budaya, menyaksikan sunset dari tebing",-8.8291,115.0849
87,Waterbom Bali,Taman Hiburan,Badung,Taman air terbesar dan terbaik di Asia Tenggara yang berlokasi di Kuta. Menawarkan berbagai wahana seru dari perosotan air ekstrem hingga kolam ombak. Telah memenangkan banyak penghargaan bertaraf internasional.,4.6,340000,560000,09.00-18.00,"Wahana air, perosotan ekstrem, kolam ombak, lazy river, kuliner",-8.7228,115.1727
88,Garuda Wisnu Kencana GWK,Taman Hiburan,Badung,"Taman budaya dengan patung Garuda Wisnu Kencana setinggi 121 meter, salah satu patung tertinggi di dunia. Menawarkan berbagai pertunjukan seni budaya Bali yang megah dan pemandangan alam dari atas bukit.",4.5,150000,250000,08.00-22.00,"Melihat patung raksasa, pertunjukan seni budaya, foto, festival budaya",-8.8103,115.1675
89,Pantai Nusa Dua,Pantai,Badung,Pantai mewah di kawasan resort eksklusif Nusa Dua dengan pasir putih bersih dan air laut tenang dan jernih. Cocok untuk keluarga yang ingin bersantai dan melakukan berbagai jenis water sport.,4.7,0,0,06.00-18.00,"Berenang, snorkeling, water sport, bersantai, berjemur",-8.8009,115.2317
90,Pantai Jimbaran,Pantai,Badung,Pantai tenang dengan pasir putih bersih yang sangat terkenal sebagai pusat kuliner seafood tepi pantai. Suasana romantis dengan meja makan di pinggir pantai saat malam hari. Favorit untuk makan malam bersama pasangan.,4.6,0,0,06.00-23.00,"Makan seafood tepi pantai, berenang, sunset viewing, snorkeling",-8.7825,115.1672
91,Pantai Seminyak,Pantai,Badung,"Pantai premium di Bali yang terkenal dengan beach club mewah bertaraf internasional, restoran tepi pantai, dan suasana kosmopolitan. Tempat nongkrong favorit wisatawan muda dan digital nomad dari seluruh dunia.",4.6,0,0,06.00-22.00,"Sunset viewing, beach club, berenang, kuliner tepi pantai",-8.6878,115.161
92,Pantai Kuta,Pantai,Badung,Pantai paling ikonik di Bali yang terkenal dengan ombak cocok untuk berselancar dan pemandangan sunset yang memukau. Destinasi nomor satu yang paling banyak dikunjungi wisatawan mancanegara saat pertama ke Bali.,4.5,0,0,06.00-18.00,"Surfing, berenang, sunset viewing, berjalan di tepi pantai",-8.7185,115.1686
93,Gunung Batur,Alam,Bangli,Gunung berapi aktif dengan pemandangan sunrise,4.7,50000,100000,04:00-18:00,"Trekking sunrise, camping, fotografi",-8.2422,115.3753
94,Gunung Agung,Alam,Karangasem,Gunung tertinggi di Bali dengan nilai spiritual tinggi,4.8,75000,150000,00:00-23:59,"Pendakian, religi, fotografi",-8.3428,115.5083
95,Bukit Campuhan Ridge Walk,Alam,Gianyar,Jalur trekking populer dengan pemandangan perbukitan hijau,4.6,0,0,06:00-18:00,"Trekking, jogging, fotografi",-8.5069,115.2625
96,Bukit Asah,Alam,Karangasem,Tempat camping dengan view laut dan perbukitan,4.5,10000,20000,00:00-23:59,"Camping, fotografi, sunrise",-8.4633,115.6155
